year,city,state,lat,long,total_pop,violent_crime,homs_sum,rape_sum,rob_sum,agg_ass_sum
1978,Los Angeles,California,34.0522342,-118.2436849,2787525,36797,651,2467,17105,16574
1978,Louisville,Kentucky,38.2526647,-85.7584557,0,0,0,0,0,0
1978,Memphis,Tennessee,35.1495343,-90.0489801,683112,5412,113,664,2897,1738
1978,Mesa,Arizona,33.4151843,-111.8314724,124937,493,4,40,121,328
1978,Miami,Florida,25.7616798,-80.1917902,330060,6272,96,207,2832,3137
1978,Milwaukee,Wisconsin,43.0389025,-87.9064736,623657,2438,48,288,1212,890
1978,Minneapolis,Minnesota,44.977753,-93.2650108,374800,3098,26,307,1688,1077
1978,Nashville,Tennessee,36.1626638,-86.7816016,452440,3153,81,217,1772,1083
1978,New Orleans,Louisiana,29.9510658,-90.0715323,559160,7635,216,406,4164,2849
1978,New York,New York,40.7127837,-74.0059413,7242886,122685,1503,3882,74029,43271
1978,Newark,New Jersey,40.735657,-74.1723667,325679,6843,109,315,3682,2737
1978,Oakland,California,37.8043637,-122.2711137,327756,5374,97,351,2774,2152
1978,Oklahoma City,Oklahoma,35.4675602,-97.5164276,381184,3607,67,314,1023,2203
1978,Omaha,Nebraska,41.2523634,-95.9979883,364446,1856,24,162,878,792
1978,Orlando,Florida,28.5383355,-81.3792365,118393,1620,13,107,410,1090
1978,Philadelphia,Pennsylvania,39.9525839,-75.1652215,1885533,12369,352,724,7069,4224
1978,Phoenix,Arizona,33.4483771,-112.0740373,696763,5401,88,463,2031,2819
1978,Pittsburgh,Pennsylvania,40.4406248,-79.9958864,479443,4818,66,231,3046,1475
1978,Portland,Oregon,45.5230622,-122.6764816,362497,4017,34,371,1774,1838
1978,Raleigh,North Carolina,35.7795897,-78.6381787,150124,645,12,48,173,412
1978,Sacramento,California,38.5815719,-121.4943996,261465,3198,61,218,1582,1337
1978,Salt Lake City,Utah,40.7607793,-111.8910474,185000,1062,21,131,451,459
1978,San Antonio,Texas,29.4241219,-98.4936282,816780,3446,136,304,1438,1568
1978,San Diego,California,32.715738,-117.1610838,797293,4520,68,316,2530,1606
1978,San Francisco,California,37.7749295,-122.4194155,658611,10509,118,583,6509,3299
1978,San Jose,California,37.3382082,-121.8863286,587621,2755,44,367,1155,1189
1978,Seattle,Washington,47.6062095,-122.3320708,489961,4900,54,360,2257,2229
1978,St. Louis,Missouri,38.6270025,-90.1994042,525123,10095,210,497,5025,4363
1978,Tampa,Florida,27.950575,-82.4571776,263175,3510,41,253,1080,2136
1978,Tucson,Arizona,32.2217429,-110.926479,309200,1654,26,155,584,889
1978,Tulsa,Oklahoma,36.1539816,-95.992775,356000,2160,45,193,609,1313
1978,Virginia Beach,Virginia,36.8529263,-75.977985,240654,465,3,67,170,225
1978,Washington,District of Columbia,38.9071923,-77.0368707,674000,9515,189,447,6333,2546
1978,Wichita,Kansas,37.688889,-97.336111,260642,1231,25,133,542,531
1979,Albuquerque,New Mexico,35.0853336,-106.6055534,302120,2679,47,215,815,1602
1979,Arlington,Texas,32.735687,-97.1080656,130265,626,11,52,190,373
1979,Atlanta,Georgia,33.7489954,-84.3879824,423103,10715,231,656,5189,4639
1979,Aurora,Colorado,39.7294319,-104.8319195,134224,1033,9,78,351,595
1979,Aurora,Illinois,41.7605849,-88.3200715,134224,1033,9,78,351,595
1979,Austin,Texas,30.267153,-97.7430608,337727,1495,43,216,577,659
1979,Baltimore,Maryland,39.2903848,-76.6121893,790901,15523,245,564,8482,6232
1979,Boston,Massachusetts,42.3600825,-71.0588801,599582,11392,92,464,6600,4236
1979,Buffalo,New York,42.8864468,-78.8783689,383915,3857,52,265,1958,1582
1979,Chicago,Illinois,41.8781136,-87.6297982,3060801,27807,856,1655,14464,10832
1979,Cincinnati,Ohio,39.1031182,-84.5120196,404661,3808,50,282,1662,1814
1979,Cleveland,Ohio,41.49932,-81.6943605,601381,9736,274,612,5760,3090
1979,Columbus,Georgia,32.4609764,-84.9877094,534052,4242,69,423,2445,1305
1979,Columbus,Ohio,39.9611755,-82.9987942,534052,4242,69,423,2445,1305
1979,Dallas,Texas,32.7766642,-96.7969879,882225,11453,307,983,4456,5707
1979,Denver,Colorado,39.7392358,-104.990251,486407,5118,66,626,2257,2169
1979,Detroit,Michigan,42.331427,-83.0457538,1258924,21021,452,1369,11413,7787
1979,El Paso,Texas,31.7775757,-106.4424559,413244,2245,33,175,813,1224
1979,Fort Worth,Texas,32.7554883,-97.3307658,384582,3799,99,345,1783,1572
1979,Fresno,California,36.7468422,-119.7725868,194849,1976,43,148,1009,776
1979,Honolulu,Hawaii,21.3069444,-157.8583333,734368,2196,48,223,1568,357
1979,Houston,Texas,29.7604267,-95.3698028,1619644,14216,654,1481,9311,2770
1979,Indianapolis,Indiana,39.768403,-86.158068,513877,4178,92,439,2053,1594
1979,Jacksonville,Florida,30.3321838,-81.655651,546419,4903,73,372,1555,2903
1979,Kansas City,Missouri,39.0997265,-94.5785667,462914,5942,119,436,2651,2736
1979,Las Vegas,Nevada,36.1699412,-115.1398296,324220,3210,75,198,1891,1046
1979,Long Beach,California,33.7700504,-118.1937395,349158,3990,61,278,2278,1373
1979,Los Angeles,California,34.0522342,-118.2436849,2863412,43372,786,2508,20454,19624
1979,Louisville,Kentucky,38.2526647,-85.7584557,0,0,0,0,0,0
1979,Memphis,Tennessee,35.1495343,-90.0489801,682110,5785,103,704,3300,1678
1979,Mesa,Arizona,33.4151843,-111.8314724,115498,755,2,53,153,547
1979,Miami,Florida,25.7616798,-80.1917902,362840,6825,134,261,3390,3040
1979,Milwaukee,Wisconsin,43.0389025,-87.9064736,645097,3039,63,283,1592,1101
1979,Minneapolis,Minnesota,44.977753,-93.2650108,363899,3899,30,327,1988,1554
1979,Nashville,Tennessee,36.1626638,-86.7816016,444443,3251,89,266,1716,1180
1979,New Orleans,Louisiana,29.9510658,-90.0715323,567656,8894,242,423,5276,2953
1979,New York,New York,40.7127837,-74.0059413,7109420,132383,1733,3875,82572,44203
1979,Newark,New Jersey,40.735657,-74.1723667,315818,9647,129,417,6100,3001
1979,Oakland,California,37.8043637,-122.2711137,344686,6064,106,373,3072,2513
1979,Oklahoma City,Oklahoma,35.4675602,-97.5164276,381348,3812,83,311,1188,2230
1979,Omaha,Nebraska,41.2523634,-95.9979883,370326,2017,40,193,954,830
1979,Orlando,Florida,28.5383355,-81.3792365,121515,1726,17,133,496,1080
1979,Philadelphia,Pennsylvania,39.9525839,-75.1652215,1757368,14537,385,838,8838,4476
1979,Phoenix,Arizona,33.4483771,-112.0740373,718216,5803,91,477,2337,2898
1979,Pittsburgh,Pennsylvania,40.4406248,-79.9958864,439407,4649,68,263,2752,1566
1979,Portland,Oregon,45.5230622,-122.6764816,406525,4558,39,435,1787,2297
1979,Raleigh,North Carolina,35.7795897,-78.6381787,140285,804,17,46,202,539
1979,Sacramento,California,38.5815719,-121.4943996,274300,3212,44,219,1640,1309
